PG(14:0/0:0)[U]
PG(14:0/0:0)
Lucidenolactone
Lucidenic acid F
Brevione L
3a,5beta,12a-Trihydroxycholan-24-oic Acid
3a,6beta,12a-Trihydroxy-5beta-cholan-24-oic Acid
3beta,6a,12a-Trihydroxy-5beta-cholan-24-oic Acid
3beta,6beta,12a-Trihydroxy-5beta-cholan-24-oic Acid
3beta,7a,12beta-Trihydroxy-5beta-cholan-24-oic Acid
3beta,7beta,12beta-Trihydroxy-5beta-cholan-24-oic Acid
3a,7a,12beta-Trihydroxy-5a-cholan-24-oic Acid
3beta,7a,12beta-Trihydroxy-5a-cholan-24-oic Acid
3a,7beta,12beta-Trihydroxy-5a-cholan-24-oic Acid
3beta,7beta,12beta-Trihydroxy-5a-cholan-24-oic Acid
(22R)-3a,7a,22-Trihydroxy-5beta-cholan-24-oic Acid
(23S)-3a,7a,23-Trihydroxy-5beta-cholan-24-oic Acid
3a,9a,11beta-Trihydroxy-5beta-cholan-24-oic Acid
3beta,9a,11beta-Trihydroxy-5beta-cholan-24-oic Acid
3a,11a,15beta-Trihydroxy-5beta-cholan-24-oic Acid
3a,11beta,15beta-Trihydroxy-5beta-cholan-24-oic Acid
3a,12a,15a-Trihydroxy-5beta-cholan-24-oic Acid
3a,12a,16a-Trihydroxy-5beta-cholan-24-oic Acid
3a,15beta,18-Trihydroxy-5beta-cholan-24-oic Acid
1beta,3a,7beta-Trihydroxy-5beta-cholan-24-oic Acid
3a,5beta,7beta-Trihydroxycholan-24-oic Acid
3a,7beta,21chi-Trihydroxy-5beta-cholan-24-oic Acid
3a,7beta,22chi-Trihydroxy-5beta-cholan-24-oic Acid
(23R)-3a,7beta,23-Trihydroxy-5beta-cholan-24-oic Acid
(23S)-3a,7beta,23-Trihydroxy-5beta-cholan-24-oic Acid
3a,7a,19-Trihydroxy-5beta-cholan-24-oic Acid
3a,12a,19-Trihydroxy-5beta-cholan-24-oic Acid
(23S)-3a,12a,23-Trihydroxy-5beta-cholan-24-oic Acid
3a,12a,15beta-Trihydroxy-5beta-cholan-24-oic Acid
3beta,5a,6beta-Trihydroxycholan-24-oic Acid
3a,11a,12a-Trihydroxy-5beta-cholan-24-oic Acid
3a,11a,12beta-Trihydroxy-5beta-cholan-24-oic Acid
3a,11beta,12a-Trihydroxy-5beta-cholan-24-oic Acid
3a,11beta,12beta-Trihydroxy-5beta-cholan-24-oic Acid
3a,7a,15a-Trihydroxy-5beta-cholan-24-oic Acid
3a,7a,17a-Trihydroxy-5beta-cholan-24-oic Acid
3a,7beta,14a-Trihydroxy-5beta-cholan-24-oic Acid
3a,7beta,17a-Trihydroxy-5beta-cholan-24-oic Acid
Butaprost
(R)-Butaprost
Constanolactone E methyl acetonide
Aspergillus acid A
3alpha,7alpha,12beta-Trihydroxy-5beta-cholan-24-oic Acid
3beta,7alpha,12alpha-Trihydroxy-5beta-cholan-24-oic Acid
Alpha-Muricholic acid
Ursocholic acid
3alpha,7beta,12beta-Trihydroxy-5beta-cholan-24-oic Acid
Isoursodeoxycholic acid
3beta,7alpha,12alpha-Trihydroxy-5alpha-cholan-24-oic Acid
3alpha,7beta,12alpha-Trihydroxy-5alpha-cholan-24-oic Acid
1,3,12-Trihydroxycholan-24-oic acid
3beta,7beta,12alpha-Trihydroxy-5alpha-cholan-24-oic Acid
Muricholic acid
Hyocholic acid
3a,4b,7a-Trihydroxy-5b-cholanoic acid
1b,3a,12a-Trihydroxy-5b-cholanoic acid
Cholic acid
Allocholic acid
3a,4b,12a-Trihydroxy-5b-cholanoic acid
6a,12a-Dihydroxylithocholic acid
1beta,3alpha,7alpha-Trihydroxy-5beta-cholan-24-oic Acid
2beta,3alpha,7alpha-Trihydroxy-5beta-cholan-24-oic Acid
omega-muricholic acid
beta-muricholic acid
3beta,6beta,12alpha-Trihydroxy-5beta-cholan-24-oic Acid
3beta,7alpha,12beta-Trihydroxy-5beta-cholan-24-oic Acid
3beta,7beta,12beta-Trihydroxy-5beta-cholan-24-oic Acid
Allocholic acid
3alpha,7alpha,12beta-Trihydroxy-5alpha-cholan-24-oic Acid
3beta,7alpha,12beta-Trihydroxy-5alpha-cholan-24-oic Acid
3alpha,7beta,12beta-Trihydroxy-5alpha-cholan-24-oic Acid
3beta,7beta,12beta-Trihydroxy-5alpha-cholan-24-oic Acid
(22R)-3alpha,7alpha,22-Trihydroxy-5beta-cholan-24-oic Acid
Haemulcholic acid
Phocaecholic acid
(23S)-3alpha,7alpha,23-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,9alpha,11beta-Trihydroxy-5beta-cholan-24-oic Acid
3beta,9alpha,11beta-Trihydroxy-5beta-cholan-24-oic Acid
Avicholic acid
3alpha,11alpha,12alpha-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,11alpha,15beta-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,11alpha,12beta-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,11beta,15beta-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,11beta,12alpha-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,12alpha,15alpha-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,11beta,12beta-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,12alpha,16alpha-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,15beta,18-Trihydroxy-5beta-cholan-24-oic Acid
Bitocholic acid
Cygnocholic acid
3alpha,7alpha,17alpha-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,7beta,14alpha-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,7beta,17alpha-Trihydroxy-5beta-cholan-24-oic Acid
Alloavicholic acid
1beta,3alpha,7beta-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,5beta,7beta-Trihydroxycholan-24-oic Acid
3alpha,7beta,21chi-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,7beta,22chi-Trihydroxy-5beta-cholan-24-oic Acid
(23R)-3alpha,7beta,23-Trihydroxy-5beta-cholan-24-oic Acid
(23S)-3alpha,7beta,23-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,7alpha,19-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,12alpha,19-Trihydroxy-5beta-cholan-24-oic Acid
(23S)-3alpha,12alpha,23-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,12alpha,15beta-Trihydroxy-5beta-cholan-24-oic Acid
Vulpecholic acid
3alpha,4beta,7alpha-Trihydroxy-5beta-cholan-24-oic Acid
3beta,4beta,7alpha-Trihydroxy-5beta-cholan-24-oic Acid
Crichetocholic acid
1beta,3alpha,12alpha-Trihydroxy-5beta-cholan-24-oic Acid
Hyocholic acid
alpha-muricholic acid
3beta,6alpha,7alpha-Trihydroxy-5beta-cholan-24-oic Acid
3beta,6alpha,7beta-Trihydroxy-5beta-cholan-24-oic Acid
3beta,6beta,7alpha-Trihydroxy-5beta-cholan-24-oic Acid
3beta,6beta,7beta-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,6alpha,7alpha-Trihydroxy-5alpha-cholan-24-oic Acid
3alpha,6alpha,7beta-Trihydroxy-5alpha-cholan-24-oic Acid
3alpha,6beta,7alpha-Trihydroxy-5alpha-cholan-24-oic Acid
3alpha,6beta,7beta-Trihydroxy-5alpha-cholan-24-oic Acid
2beta,3alpha,12alpha-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,4beta,12alpha-Trihydroxy-5beta-cholan-24-oic Acid
3beta,5alpha,6beta-Trihydroxycholan-24-oic Acid
3beta,4beta,12alpha-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,5beta,12alpha-Trihydroxycholan-24-oic Acid
3alpha,6alpha,12alpha-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,6beta,12alpha-Trihydroxy-5beta-cholan-24-oic Acid
3beta,6alpha,12alpha-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,7alpha,12beta-Trihydroxy-5beta-cholanate
Bile salt
17-(4-Hydroxyphenyl)heptadecanoate
24-Nor-5beta-chol-22-ene-3a,7a,12a-triol
24-Nor-5beta-chol-22-ene-3alpha,7alpha,12alpha-triol
Norlithocholic acid
2-(8-[5]-ladderane-octanyl)-sn-glycerol
1-O-(1E,3E,5E,7E,9E-eicosapentenyl)-sn-glycerol
Leupeptin
Leupeptin
Glycidyl stearate
2-oxo-heneicosanoic acid
20-oxo-heneicosanoic acid
3-oxo-heneicosanoic acid
5-oxo-heneicosanoic acid
Polyoxyethylene (600) monoricinoleate
Cholic Acid Methyl Ester
Homocholic acid
Homohyocholic acid
Homo-alpha-muricholic acid
Homo-beta-muricholic acid
Homo-omega-muricholic acid
Homoavicholic acid
19-(3-methyl-butanoyloxy)-villanovane-13alpha,17-diol
(23S)-methylcholic acid
Cyclobuxine D
2-Arachidonoyl Glycerol-d8
(5b,12b)-Cholan-24-oic acid, 12-hydroxy-
Isoallolithocholic acid
7a-Hydroxy-5b-cholanic acid
6a-Hydroxy-5beta-cholan-24-oic Acid
6beta-Hydroxy-5beta-cholan-24-oic Acid
6a-Hydroxy-5a-cholan-24-oic Acid
6beta-Hydroxy-5a-cholan-24-oic Acid
7beta-Hydroxy-5beta-cholan-24-oic Acid
7a-Hydroxy-5a-cholan-24-oic Acid
7beta-Hydroxy-5a-cholan-24-oic Acid
12a-Hydroxy-5beta-cholan-24-oic Acid
12a-Hydroxy-5a-cholan-24-oic Acid
12beta-Hydroxy-5a-cholan-24-oic Acid
(20S)-3beta-Hydroxy-5a-cholan-24-oic Acid
15a-Hydroxy-5beta-cholan-24-oic Acid
11beta-Hydroxy-5beta-cholan-24-oic Acid
15(R)-Pinane Thromboxane A2
(+/-)-CP 55,940
(+)-CP 55,940
Pinane Thromboxane A2
(-)-CP 55,940
(+/-)5-epi CP 55,940
11beta-Hydroxy-5beta-cholan-24-oic Acid
Allolithocholic acid
6alpha-Hydroxy-5beta-cholan-24-oic Acid
6beta-Hydroxy-5beta-cholan-24-oic Acid
6alpha-Hydroxy-5alpha-cholan-24-oic Acid
6beta-Hydroxy-5alpha-cholan-24-oic Acid
7beta-Hydroxy-5beta-cholan-24-oic Acid
7alpha-Hydroxy-5alpha-cholan-24-oic Acid
7beta-Hydroxy-5alpha-cholan-24-oic Acid
12alpha-Hydroxy-5beta-cholan-24-oic Acid
12alpha-Hydroxy-5alpha-cholan-24-oic Acid
12beta-Hydroxy-5alpha-cholan-24-oic Acid
3alpha,7alpha-Dihydroxy-5beta-cholan-24-al
(20S)-3beta-Hydroxy-5alpha-cholan-24-oic Acid
15alpha-Hydroxy-5beta-cholan-24-oic Acid
Lithocholic acid
Isolithocholic acid
3beta-Hydroxy-5alpha-cholan-24-oic Acid
7alpha-Hydroxy-5beta-cholan-24-oic Acid
12beta-Hydroxy-5beta-cholan-24-oic Acid
Allolithocholic acid
1-O-(1E,3E,5E,7E,9E-heneicosapentenyl)-sn-glycerol
22-Oxodocosanoate
10-oxo-docosanoic acid
2-oxo-docosanoic acid
21-oxo-docosanoic acid
3-oxo-docosanoic acid
4-oxo-docosanoic acid
24,24-difluoro-1alpha-hydroxyvitamin D3
4,4-difluoro-1alpha-hydroxyvitamin D3
(5Z)-4,4-difluoro-1alpha--hydroxyvitamin D3
23,23-difluoro-25-hydroxyvitamin D3
24,24-difluoro-25-hydroxyvitamin D3
Varanic acid
Dihomocholic acid
Dihomohyocholic acid
Dihomo-alpha-muricholic acid
Dihomo-beta-muricholic acid
Dihomo-omega-muricholic acid
Dihomoavicholic acid
19-(4-Hydroxyphenyl)nonadecanoate
1,25-dihydroxy-2,4-dinor-1,3-secovitamin D3
1alpha,25-dihydroxy-3-deoxy-19-nor-22-oxavitamin D3
1beta,25-dihydroxy-3-deoxy-19-nor-22-oxavitamin D3
25-dihydroxy-19-nor-22-oxa-3-epivitamin D3
25-dihydroxy-19-nor-22-oxavitamin D3
Homolithocholic acid
27-Norcholestanehexol
22-oxo-tricosanoic acid
3-oxo-tricosanoic acid
2-oxo-tricosanoic acid
Norlithocholic acid
2-(8-[5]-ladderane-octanyl)-sn-glycerol
1-O-(1E,3E,5E,7E,9E-eicosapentenyl)-sn-glycerol
24-Nor-5beta-chol-22-ene-3alpha,7alpha,12alpha-triol
17-(4-Hydroxyphenyl)heptadecanoate
24-Nor-5beta-chol-22-ene-3a,7a,12a-triol
Arachidonic Acid methyl ester-d8
17-Propyl-5alpha-androst-2-en-17beta-ol
Persin
MG(0:0/20:3(11Z,14Z,17Z)/0:0)
MG(20:3(5Z,8Z,11Z)/0:0/0:0)
MG(20:3(11Z,14Z,17Z)/0:0/0:0)
MG(0:0/20:3(5Z,8Z,11Z)/0:0)
Isopersin
MG(20:3(8Z,11Z,14Z)/0:0/0:0)
2-Hydroxy-4-oxo-5,12-heneicosadien-1-yl acetate
MG(0:0/20:3(8Z,11Z,14Z)/0:0)
24-Nor-5beta-cholane-3a,7a,12a,23-tetrol
24-Nor-5beta-cholane-3a,7a,22,23-tetrol
24-Nor-5beta-cholane-3a,7beta,22,23-tetrol
24-Nor-5beta-cholane-3a,12a,22,23-tetrol
24-Nor-5beta-cholane-3alpha,7alpha,12alpha,23-tetrol
24-Nor-5beta-cholane-3alpha,7alpha,22,23-tetrol
24-Nor-5beta-cholane-3alpha,7beta,22,23-tetrol
24-Nor-5beta-cholane-3alpha,12alpha,22,23-tetrol
6Z,9Z-Eicosadien-11-ol
6Z-Eicosen-11-one
7Z-Eicosen-11-one
11Z-Eicosenal
9R,10S-Epoxy-6Z-eicosene
2E-Phytenal
BW 245C
BW 246C
Perindopril
3-Oxochola-1,4,6-trien-24-oic Acid
18-hydroxy-9S,10R-dihydroxy-stearic acid
9R,10S,18-trihydroxy-stearic acid
9,10,13-trihydroxy-Octadecanoic acid
Phloionolic acid
Yanuthone K
12a-Hydroxy-3-oxocholadienic acid
9'-Carboxy-alpha-tocotrienol
12alpha-Hydroxy-3-oxochola-4,6-dien-24-oic Acid
Mepregnol 17-monoacetate
7a-Hydroxy-3-oxochola-1,4-dien-24-oic Acid
12a-Hydroxy-3-oxochola-1,4-dien-24-oic Acid
1,7-Dioxo-5beta-chol-2-en-24-oic Acid
7beta-Hydroxy-3-oxochola-1,4-dien-24-oic Acid
6a-Hydroxy-3-oxochola-1,4-dien-24-oic Acid
3,12-Dioxo-5beta-chol-14-en-24-oic Acid
(22E)-1a,3beta-Dihydroxychola-5,16,22-trien-24-oic Acid
3,12-Dioxo-5beta-chol-6-en-24-oic Acid
3,12-Dioxo-5beta-chol-7-en-24-oic Acid
3,12-Dioxo-5beta-chol-8(14)-en-24-oic Acid
3a-Hydroxy-12-oxo-5beta-chola-7,9(11)-dien-24-oic Acid
Medroxyprogesterone acetate
3,12-Dioxo-5beta-chol-6-en-24-oic Acid
3,12-Dioxo-5beta-chol-7-en-24-oic Acid
7,12-Dioxochol-5-en-24-oic Acid
3,12-Dioxo-5beta-chol-8(14)-en-24-oic Acid
3alpha-Hydroxy-12-oxo-5beta-chola-7,9(11)-dien-24-oic Acid
3,12-Dioxochol-4-en-24-oic Acid
7alpha-Hydroxy-3-oxochola-1,4-dien-24-oic Acid
12alpha-Hydroxy-3-oxochola-1,4-dien-24-oic Acid
12alpha-Hydroxy-3-oxochola-4,6-dien-24-oic Acid
Bufalin
1,7-Dioxo-5beta-chol-2-en-24-oic Acid
7beta-Hydroxy-3-oxochola-1,4-dien-24-oic Acid
6alpha-Hydroxy-3-oxochola-1,4-dien-24-oic Acid
3,12-Dioxo-5beta-chol-14-en-24-oic Acid
(22E)-1alpha,3beta-Dihydroxychola-5,16,22-trien-24-oic Acid
Ophiobolin Q
18-fluoro-9Z-octadecenoic acid
18-fluoro-9E-octadecenoic acid
18-fluoro-9Z-octadecenoic acid
18-fluoro-9E-octadecenoic acid
17-Ethynyl-5alpha-androstan-17beta-ol
5alpha-Pregn-2-en-20-one
pregn-4-en-3-one
Allylestrenol
Cardanoldiene
3-((8Z,11Z)-pentadeca-8,11-dien-1-yl)phenol
3beta-Hydroxy-chol-5-en-24-oic Acid
2-(10-Heptadecenyl)-6-hydroxybenzoic acid
D8'-Merulinic acid C
6-((Z)-pentadec-8-en-1-yl)salicylic acid
1alpha,24-dihydroxy-25,26,27-trinorvitamin D3
3-Oxo-5beta-cholan-24-oic Acid
3-Oxo-5alpha-cholan-24-oic Acid
6-Oxo-5beta-cholan-24-oic Acid
6-Oxo-5alpha-cholan-24-oic Acid
7-Oxo-5beta-cholan-24-oic Acid
12-Oxo-5beta-cholan-24-oic Acid
12-Oxo-5alpha-cholan-24-oic Acid
15-hydroxy-tetracosa-6,9,12,16,18-pentaenoic acid
3alpha-Hydroxychol-4-en-24-oic Acid
3beta-Hydroxychol-4-en-24-oic Acid
3alpha-Hydroxychol-5-en-24-oic Acid
3alpha-Hydroxy-5beta-chol-6-en-24-oic Acid
3beta-Hydroxy-5beta-chol-6-en-24-oic Acid
3alpha-Hydroxy-5beta-chol-7-en-24-oic Acid
3beta-Hydroxy-5alpha-chol-7-en-24-oic Acid
3alpha-Hydroxy-5beta-chol-8-en-24-oic Acid
3alpha-Hydroxy-5beta-chol-8(14)-en-24-oic Acid
3alpha-Hydroxy-5beta-chol-9(11)-en-24-oic Acid
3beta-Hydroxy-5beta-chol-9(11)-en-24-oic Acid
3alpha-Hydroxy-5beta-chol-11-en-24-oic Acid
3alpha-Hydroxy-5beta-chol-14-en-24-oic Acid
7alpha-Hydroxy-5beta-chol-3-en-24-oic Acid
12alpha-Hydroxy-5beta-chol-3-en-24-oic Acid
7-Oxo-5alpha-cholan-24-oic Acid
7alpha-Hydroxy-5beta-chol-2-en-24-oic Acid
3beta-Hydroxy-5beta-chol-1-en-24-oic Acid
11-Oxo-5beta-cholan-24-oic Acid
3alpha-Hydroxy-5beta,14beta-chol-8-en-24-oic Acid
(20S)-3beta-Hydroxychol-5-en-24-oic Acid
(20S,22E)-3beta-Hydroxy-5alpha-chol-22-en-24-oic Acid
3alpha-Hydroxy-5alpha-chol-6-en-24-oic Acid
15-Oxo-5beta-cholan-24-oic Acid
3beta-[(Tetrahydro-2H-pyran-2-yl)oxy]androst-5-en-17beta-ol
3beta,21-Dihydroxy-4,4,14-trimethyl-5alpha-pregn-8-en-20-one
3-Oxo-5beta-cholan-24-oic Acid
6-Oxo-5beta-cholan-24-oic Acid
6-Oxo-5a-cholan-24-oic Acid
7-Oxo-5beta-cholan-24-oic Acid
12-Oxo-5beta-cholan-24-oic Acid
12-Oxo-5a-cholan-24-oic Acid
3a-Hydroxychol-4-en-24-oic Acid
3beta-Hydroxychol-4-en-24-oic Acid
3a-Hydroxychol-5-en-24-oic Acid
3beta-Hydroxy-chol-5-en-24-oic Acid
3a-Hydroxy-5beta-chol-6-en-24-oic Acid
3beta-Hydroxy-5beta-chol-6-en-24-oic Acid
3a-Hydroxy-5beta-chol-7-en-24-oic Acid
3beta-Hydroxy-5a-chol-7-en-24-oic Acid
3a-Hydroxy-5beta-chol-8-en-24-oic Acid
3a-Hydroxy-5beta-chol-8(14)-en-24-oic Acid
3a-Hydroxy-5beta-chol-9(11)-en-24-oic Acid
3beta-Hydroxy-5beta-chol-9(11)-en-24-oic Acid
3a-Hydroxy-5beta-chol-11-en-24-oic Acid
3a-Hydroxy-5beta-chol-14-en-24-oic Acid
7a-Hydroxy-5beta-chol-3-en-24-oic Acid
12a-Hydroxy-5beta-chol-3-en-24-oic Acid
7-Oxo-5a-cholan-24-oic Acid
7a-Hydroxy-5beta-chol-2-en-24-oic Acid
3beta-Hydroxy-5beta-chol-1-en-24-oic Acid
11-Oxo-5beta-cholan-24-oic Acid
3a-Hydroxy-5beta,14beta-chol-8-en-24-oic Acid
(20S)-3beta-Hydroxychol-5-en-24-oic Acid
(20S,22E)-3beta-Hydroxy-5a-chol-22-en-24-oic Acid
3a-Hydroxy-5a-chol-6-en-24-oic Acid
15-Oxo-5beta-cholan-24-oic Acid
2-thio-Acetyl MAGE
20-fluoro-9Z-eicosenoic acid
20-fluoro-11Z-eicosenoic acid
Hyodeoxycholic acid
Allochenodeoxycholic acid
3a,7a-Dihydroxycholanoic acid
Allodeoxycholic acid
Murideoxycholic acid
Isohydroxycholic acid
Chenodeoxycholic Acid
Ursodeoxycholic acid
Isochenodeoxycholic acid
Isoursodeoxycholic acid
Deoxycholic acid
Lagodeoxycholic
Isodeoxycholic acid
3beta,12beta-Dihydroxy-5beta-cholan-24-oic Acid
3beta,12alpha-Dihydroxy-5alpha-cholan-24-oic Acid
7alpha,12alpha-Dihydroxy-5beta-cholan-24-oic Acid
7alpha,12beta-Dihydroxy-5beta-cholan-24-oic Acid
7beta,12alpha-Dihydroxy-5beta-cholan-24-oic Acid
3beta,7beta-Dihydroxy-5alpha-cholan-24-oic Acid
Allochenodeoxycholic acid
Allodeoxycholic acid
3beta,12alpha-Dihydroxy-5alpha-cholan-24-oic Acid
3b,12a-Dihydroxy-5a-cholanoic acid
3a,12b-Dihydroxy-5b-cholanoic acid
3b,12b-Dihydroxy-5b-cholanoic acid
(5b,7b,12a)-7,12-dihydroxy-Cholan-24-oic acid
Murocholic acid
Isohyodeoxycholic acid
3b,12a-Dihydroxy-5b-cholanoic acid
1a,3a-Dihydroxy-5beta-cholan-24-oic Acid
1beta,3a-Dihydroxy-5beta-cholan-24-oic Acid
2beta,3a-Dihydroxy-5beta-cholan-24-oic Acid
3a,4beta-dihydroxy-5beta-cholan-24-oic Acid
3beta,4beta-Dihydroxy-5beta-cholan-24-oic Acid
3beta,6beta-Dihydroxy-5beta-cholan-24-oic Acid
3a,6a-Dihydroxy-5a-cholan-24-oic Acid
3a,6beta-Dihydroxy-5a-cholan-24-oic Acid
3beta,6a-Dihydroxy-5a-cholan-24-oic Acid
3beta,6beta-Dihydroxy-5a-cholan-24-oic Acid
3a,7beta-Dihydroxy-5a-cholan-24-oic Acid
3beta,7a-Dihydroxy-5a-cholan-24-oic Acid
3beta,7beta-Dihydroxy-5a-cholan-24-oic Acid
3a,12beta-Dihydroxy-5a-cholan-24-oic Acid
3beta,12beta-Dihydroxy-5a-cholan-24-oic Acid
3a,15beta-Dihydroxy-5beta-cholan-24-oic Acid
7a,12beta-Dihydroxy-5beta-cholan-24-oic Acid
7beta,12beta-Dihydroxy-5beta-cholan-24-oic Acid
7a,12a-Dihydroxy-5a-cholan-24-oic Acid
7a,12beta-Dihydroxy-5a-cholan-24-oic Acid
7beta,12a-Dihydroxy-5a-cholan-24-oic Acid
7beta,12beta-Dihydroxy-5a-cholan-24-oic Acid
3a,19-Dihydroxy-5beta-cholan-24-oic Acid
3a,11beta-Dihydroxy-5beta-cholan-24-oic Acid
3a,7a,12a-Trihydroxy-5a-cholan-24-al
3a,7a,12a-Trihydroxy-5beta-cholan-24-al
6beta,7a-Dihydroxy-5beta-cholan-24-oic Acid
6beta,7beta-Dihydroxy-5beta-cholan-24-oic Acid
3a,11a-Dihydroxy-5beta-cholan-24-oic Acid
11beta,12beta-Dihydroxy-5beta-cholan-24-oic Acid
3a,5beta-Dihydroxycholan-24-oic Acid
6beta,12a-Dihydroxy-5beta-cholan-24-oic Acid
3-keto Petromyzonol
6beta,7alpha-Dihydroxy-5beta-cholan-24-oic Acid
6beta,7beta-Dihydroxy-5beta-cholan-24-oic Acid
3alpha,11alpha-Dihydroxy-5beta-cholan-24-oic Acid
11beta,12beta-Dihydroxy-5beta-cholan-24-oic Acid
3alpha,15alpha-dihydroxy-5beta-cholan-24-oic acid
3alpha,5beta-Dihydroxycholan-24-oic Acid
6beta,12alpha-Dihydroxy-5beta-cholan-24-oic Acid
Avideoxycholic acid
3alpha,19-Dihydroxy-5beta-cholan-24-oic Acid
1alpha,3alpha-Dihydroxy-5beta-cholan-24-oic Acid
1beta,3alpha-Dihydroxy-5beta-cholan-24-oic Acid
2beta,3alpha-Dihydroxy-5beta-cholan-24-oic Acid
3alpha,4beta-dihydroxy-5beta-cholan-24-oic Acid
3beta,4beta-Dihydroxy-5beta-cholan-24-oic Acid
Hyodeoxycholic acid
Isomurideoxycholic acid
Allohyodeoxycholic acid
Allomurideoxycholic acid
3alpha,11beta-Dihydroxy-5beta-cholan-24-oic Acid
3beta,6alpha-Dihydroxy-5alpha-cholan-24-oic Acid
3beta,6beta-Dihydroxy-5alpha-cholan-24-oic Acid
Allochenodeoxycholic acid
Alloursodeoxycholic acid
3beta,7alpha-Dihydroxy-5alpha-cholan-24-oic Acid
3beta,7beta-Dihydroxy-5alpha-cholan-24-oic Acid
Allodeoxycholic acid
3alpha,12beta-Dihydroxy-5alpha-cholan-24-oic Acid
3alpha,7alpha,12alpha-Trihydroxy-5alpha-cholan-24-al
3beta,12beta-Dihydroxy-5alpha-cholan-24-oic Acid
3alpha,7alpha,12alpha-Trihydroxy-5beta-cholan-24-al
3alpha,15beta-Dihydroxy-5beta-cholan-24-oic Acid
7beta,12beta-Dihydroxy-5beta-cholan-24-oic Acid
7alpha,12alpha-Dihydroxy-5alpha-cholan-24-oic Acid
7alpha,12beta-Dihydroxy-5alpha-cholan-24-oic Acid
7beta,12alpha-Dihydroxy-5alpha-cholan-24-oic Acid
7beta,12beta-Dihydroxy-5alpha-cholan-24-oic Acid
3E,6Z-Heneicosadien-11-one
6Z,8E-Heneicosadien-11-one
6Z,9E-Heneicosadien-11-one
6Z,9Z-Heneicosadien-11-one
9R,10S-Epoxy-3Z,6Z-heneicosadiene
9S,10R-Epoxy-3Z,6Z-heneicosadiene
6R,7S-Epoxy-3Z,9Z-heneicosadiene
6S,7R-Epoxy-3Z,9Z-heneicosadiene
cis-3,4-Epoxy-6Z,9Z-heneicosadiene
trans-11S,12S-Epoxy-6Z,9Z-heneicosadiene
2-Heptadecylfuran
1-O-(1E,3E,5E,7E,9E-heneicosapentenyl)-sn-glycerol
Lithocholic acid
Isolithocholic acid
3beta-Hydroxy-5alpha-cholan-24-oic Acid
7alpha-Hydroxy-5beta-cholan-24-oic Acid
12beta-Hydroxy-5beta-cholan-24-oic Acid
Allolithocholic acid
11beta-Hydroxy-5beta-cholan-24-oic Acid
Allolithocholic acid
6alpha-Hydroxy-5beta-cholan-24-oic Acid
6beta-Hydroxy-5beta-cholan-24-oic Acid
6alpha-Hydroxy-5alpha-cholan-24-oic Acid
6beta-Hydroxy-5alpha-cholan-24-oic Acid
7beta-Hydroxy-5beta-cholan-24-oic Acid
7alpha-Hydroxy-5alpha-cholan-24-oic Acid
7beta-Hydroxy-5alpha-cholan-24-oic Acid
12alpha-Hydroxy-5beta-cholan-24-oic Acid
12alpha-Hydroxy-5alpha-cholan-24-oic Acid
12beta-Hydroxy-5alpha-cholan-24-oic Acid
3alpha,7alpha-Dihydroxy-5beta-cholan-24-al
(20S)-3beta-Hydroxy-5alpha-cholan-24-oic Acid
15alpha-Hydroxy-5beta-cholan-24-oic Acid
(5b,12b)-Cholan-24-oic acid, 12-hydroxy-
Isoallolithocholic acid
7a-Hydroxy-5b-cholanic acid
6a-Hydroxy-5beta-cholan-24-oic Acid
6beta-Hydroxy-5beta-cholan-24-oic Acid
6a-Hydroxy-5a-cholan-24-oic Acid
6beta-Hydroxy-5a-cholan-24-oic Acid
7beta-Hydroxy-5beta-cholan-24-oic Acid
7a-Hydroxy-5a-cholan-24-oic Acid
7beta-Hydroxy-5a-cholan-24-oic Acid
12a-Hydroxy-5beta-cholan-24-oic Acid
12a-Hydroxy-5a-cholan-24-oic Acid
12beta-Hydroxy-5a-cholan-24-oic Acid
(20S)-3beta-Hydroxy-5a-cholan-24-oic Acid
15a-Hydroxy-5beta-cholan-24-oic Acid
11beta-Hydroxy-5beta-cholan-24-oic Acid
15(R)-Pinane Thromboxane A2
(+/-)-CP 55,940
(+)-CP 55,940
Pinane Thromboxane A2
(-)-CP 55,940
(+/-)5-epi CP 55,940
9-Hexadecenoylcholine
